# Échantillon « duel » — 20 août 2026, combat 1568042324
#
# Deux clients depuis la même installation launcher Ankama. PJ1 (Ecaflip,
# breed 6) contre PJ2 (Osamodas, breed 2), plus un Chacha noir invoqué en
# cours de combat. Noms de personnages anonymisés, ID d'entité tronqués.
#
# Repassé dans la liste blanche de canaux de `scrub_chat` (tools/capture-multi-account.sh) :
# 8 lignes de chat public — Commerce, Recrutement, Communauté, Proximité,
# Politique — laissées passer par l'ancienne liste noire ont été retirées.
#
# Ce que cet échantillon établit (résolution de #14) :
#  - `<Nom> est KO !` est la forme de sortie des PERSONNAGES, avec un skew de
#    1253 ms entre les deux copies, qui encadrent `Combat terminé` — donc sur
#    le canal fragile, d'où la règle « transition idempotente, première vue » ;
#  - `est KO !` termine ici le combat : aucun combat de la capture ne CONTINUE
#    après un KO, le saut d'un mort dans la rotation reste non observé (#10) ;
#  - les TROIS canaux d'attribution concordent : alternance stricte, séries de
#    secondes 50→67→93 (PJ1) et 64→100→124 (PJ2), et le passif de fin de tour
#    qui suit immédiatement la frontière nomme le personnage concerné.
21:22:42,728 - [Information (combat)] Vous avez défié amicalement PJ1
21:22:42,806 - [Information (combat)] PJ2 vous a défié amicalement. Voulez-vous combattre avec lui ?
21:22:48,331 - [Information (combat)] PJ1: Pioche (+10 Niv.)
21:22:48,332 - [Information (combat)] PJ1: 0 PW (Pioche mélangée)
21:22:48,349 - [Information (combat)] PJ1: Pioche (+10 Niv.)
21:22:48,349 - [Information (combat)] PJ1: 0 PW (Pioche mélangée)
21:22:52,875 - [Information (combat)] PJ1 lance le sort Capucine
21:22:52,878 - [Information (combat)] PJ1 lance le sort Capucine
21:22:53,778 - [Information (combat)] PJ2: -376 PV (Eau)
21:22:53,789 - [Information (combat)] PJ2: -376 PV (Eau)
21:22:54,576 - [Information (combat)] PJ1 lance le sort Capucine
21:22:54,581 - [Information (combat)] PJ1 lance le sort Capucine
21:22:55,480 - [Information (combat)] PJ2: -302 PV (Eau) (Parade !)
21:22:55,494 - [Information (combat)] PJ2: -302 PV (Eau) (Parade !)
21:22:57,767 - [Information (combat)] PJ1 lance le sort Le Dieu Ecaflip
21:22:57,772 - [Information (combat)] PJ1: Le Dieu Ecaflip (Niv. 1)
21:22:57,774 - [Information (combat)] PJ1: 3 PA (Le Dieu Ecaflip)
21:22:57,775 - [Information (combat)] PJ1: 20 % Coup critique (Le Dieu Ecaflip)
21:22:57,775 - [Information (combat)] PJ1: Veine (+7 Niv.)
21:22:57,778 - [Information (combat)] PJ1 lance le sort Le Dieu Ecaflip
